Document,Type,Description
SB 0726 of 2024,Senate Bill,"Crimes: controlled substances; crime of manufacturing, creating, delivering, or possessing with intent certain schedule 1 and 2 controlled substances; modify penalties. Amends sec. 7401 of 1978 PA 368 (MCL 333.7401).Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0727 of 2024,Senate Bill,"Criminal procedure: sentencing guidelines; sentencing guidelines for manufacturing, creating, delivering, or possessing with intent certain schedule 1 and 2 controlled substances; amend. Amends sec. 13m, ch. XVII of 1927 PA 175 (MCL 777.13m).  TIE BAR WITH: SB 0726'24Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0728 of 2024,Senate Bill,Children: protection; person responsible for child health or welfare; modify. Amends sec. 2 of 1975 PA 238 (MCL 722.622).Last Action: referred to second reading
SB 0729 of 2024,Senate Bill,State management: other; use of certain terminology in the promotion of governmental services; prohibit. Creates new act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0730 of 2024,Senate Bill,Liquor: retail sales; displaying co-branded alcoholic beverages adjacent to certain products; prohibit. Amends 1998 PA 58 (MCL 436.1101 - 436.2303) by adding sec. 609k.Last Action: referred to second reading
SB 0731 of 2024,Senate Bill,Liquor: other; payment of administrative fee to wholesaler for a payment dishonored by a financial institution; require. Amends sec. 903b of 1998 PA 58 (MCL 436.1903b).Last Action: referred to second reading
SB 0732 of 2024,Senate Bill,Liquor: liquor control commission; guidelines for review of the financial viability of a vendor; provide for. Amends 1998 PA 58 (MCL 436.1101 - 436.2303) by adding sec. 804.Last Action: referred to second reading
SB 0733 of 2024,Senate Bill,Agriculture: animals; hold period for livestock abandoned; modify. Amends sec. 37 of 1846 RS 126 (MCL 570.187) & adds sec. 37a.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND AGRICULTURE
SB 0734 of 2024,Senate Bill,"Health: other; enforcement powers of the department of health and human services under the public health code; modify. Amends secs. 2251, 2253, 2433, 2435, 2441, 2451, 2453,
2481, 12613, 13104, 13105a, 13108, 13516, 13736, 13737, 13738 & 20919 of 1978 PA 368 (MCL 333.2251 et seq.) & repeals secs. 1299, 2241, 2242, 2243, 2244, 2245, 2246, 2255, 2261, 2262, 2263, 2437, 2443, 2446, 2455, 2461, 2462, 2463 & 2465 of 1978 PA 368 (MCL 333.1299 et seq.).Last Action: REFERRED TO COMMITTEE ON OVERSIGHT"
SB 0735 of 2024,Senate Bill,Environmental protection: hazardous products; polyfluoroalkyl substances (PFAS) in consumer products and packaging; require warning label. Creates new act.Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0736 of 2024,Senate Bill,Education: curriculum; instruction in water safety; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1170c.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0737 of 2024,Senate Bill,Higher education: state universities; creation of a coordinated cybersecurity defense organization and security operations center for this state’s public universities; provide for. Creates new act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0738 of 2024,Senate Bill,Insurance: health insurers; coverage for antineoplastic drugs; expand. Amends sec. 3406e of 1956 PA 218 (MCL 500.3406e).Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0739 of 2024,Senate Bill,Human services: medical services; certain personal service agreements; allow. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 112l.Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0740 of 2024 (PA 172 of 2024),Senate Bill,Occupations: plumbers; ratio of apprentices to journey or master licensees on a jobsite; provide for plumbers and modify for electricians. Amends sec. 1117 of 2016 PA 407 (MCL 339.6117) & adds sec. 1117a.Last Action: ASSIGNED PA 0172'24
SB 0741 of 2024,Senate Bill,"Education: school districts; school library and participation in interlibrary loan system; require in all public schools. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1161.  TIE BAR WITH: SB 0742'24, SB 0743'24Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 0742 of 2024,Senate Bill,"Education: school districts; certified school librarian; require in certain public schools. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1162.  TIE BAR WITH: SB 0741'24, SB 0743'24Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 0743 of 2024,Senate Bill,"Education: school districts; designated individual to supervise pupils in a school library; provide for under certain conditions. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1162a.  TIE BAR WITH: SB 0742'24, SB 0741'24Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 0744 of 2024 (PA 134 of 2024),Senate Bill,Education: teachers and administrators; requirements for a teacher to successfully complete a probationary period: modify. Amends sec. 3b of 1937 (Ex Sess) PA 4 (MCL 38.83b).Last Action: ASSIGNED PA 0134'24
SB 0745 of 2024,Senate Bill,Appropriations: capital outlay; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0746 of 2024,Senate Bill,"Appropriations: school aid omnibus; appropriations for K-12 school aid, higher education, and community colleges for fiscal year 2024-2025; provide for. Amends secs. 11, 17b, 201, 206, 236 & 241 of 1979 PA 94 (MCL 388.1611 et seq.).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SB 0747 of 2024 (PA 00121 of 2024),Senate Bill,Appropriations: omnibus; appropriations for multiple departments and branches for fiscal year 2024-2025 and supplemental appropriations for fiscal year 2023-2024; provide for. Creates appropriation act.Last Action: POSTPONED FOR THE DAY
SB 0748 of 2024,Senate Bill,"Appropriations: department of lifelong education, advancement, and potential; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE"
SB 0749 of 2024,Senate Bill,Appropriations: supplemental; appropriations for multiple departments and branches for fiscal year 2023-2024; provide for. Creates appropriation act.Last Action: placed on second reading
SB 0750 of 2024,Senate Bill,Appropriations: supplemental; appropriations for multiple departments and branches for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0751 of 2024,Senate Bill,Appropriations: school aid; appropriations in the school aid act for fiscal year 2024-2025; provide for. Amends secs. 11 & 17b of 1979 PA 94 (MCL 388.1611 & 388.1617b).Last Action: Senate conferees named 06/04/2024: Sens. Darrin Camilleri Sarah Anthony Jon Bumstead
SB 0752 of 2024,Senate Bill,Appropriations: higher education; appropriations for fiscal year 2024-2025; provide for. Amends secs. 236 & 241 of 1979 PA 94 (MCL 388.1836 & 388.1841).Last Action: Senate conferees named 06/04/2024: Sens. Sean McCann Sarah Anthony Jon Bumstead
SB 0753 of 2024,Senate Bill,Appropriations: community colleges; appropriations for fiscal year 2024-2025; provide for. Amends secs. 201 & 206 of 1979 PA 94 (MCL 388.1801 & 388.1806).Last Action: Senate conferees named 06/04/2024: Sens. Sean McCann Sarah Anthony Jon Bumstead
SB 0754 of 2024,Senate Bill,Appropriations: supplemental; appropriations for multiple departments and branches for fiscal year 2023-2024; provide for. Creates appropriation act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0755 of 2024,Senate Bill,Appropriations: supplemental; appropriations for multiple departments and branches for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0756 of 2024,Senate Bill,Appropriations: department of corrections; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0757 of 2024,Senate Bill,Appropriations: judiciary; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0758 of 2024,Senate Bill,Appropriations: department of agriculture and rural development; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0759 of 2024,Senate Bill,Appropriations: department of natural resources; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0760 of 2024,Senate Bill,Appropriations: general government; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0761 of 2024,Senate Bill,Appropriations: transportation department; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: Senate conferees named 06/04/2024: Sens. Veronica Klinefelt Sarah Anthony Jon Bumstead
SB 0762 of 2024,Senate Bill,Appropriations: department of military and veterans affairs; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: Senate conferees named 06/04/2024: Sens. Kevin Hertel Sarah Anthony Jon Bumstead
SB 0763 of 2024,Senate Bill,Appropriations: department of state police; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0764 of 2024,Senate Bill,Appropriations: department of licensing and regulatory affairs; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: Senate conferees named 06/04/2024: Sens. Mary Cavanagh Sarah Anthony Jon Bumstead
SB 0765 of 2024,Senate Bill,Appropriations: department of insurance and financial services; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0766 of 2024,Senate Bill,Appropriations: department of labor and economic opportunity; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: Senate conferees named 06/04/2024: Sens. Mary Cavanagh Sarah Anthony Jon Bumstead
SB 0767 of 2024,Senate Bill,Appropriations: department of health and human services; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0768 of 2024,Senate Bill,"Appropriations: department of environment, Great Lakes, and energy; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: Senate conferees named 06/04/2024: Sens. Jeff Irwin Sarah Anthony Jon Bumstead"
SB 0769 of 2024,Senate Bill,Appropriations: department of education; appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.Last Action: Senate conferees named 06/04/2024: Sens. Rosemary Bayer Sarah Anthony Jon Bumstead
SB 0770 of 2024,Senate Bill,State: other; participation in daylight saving time; eliminate. Creates new act.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0771 of 2024,Senate Bill,Vehicles: other; operation of golf carts on streets and county roads in certain municipalities; allow. Amends sec. 657a of 1949 PA 300 (MCL 257.657a).Last Action: referred to Committee on Local Government and Municipal Finance
SB 0772 of 2024,Senate Bill,Energy: alternative sources; grants for residential customers who install electric generators and storage systems; provide for. Amends 2008 PA 295 (MCL 460.1001 - 460.1211) by adding pt. 8.Last Action: REFERRED TO COMMITTEE ON ENERGY AND ENVIRONMENT
SB 0773 of 2024,Senate Bill,"Energy: alternative sources; distributed generation, storage, and aggregation; create program for in rate cases. Amends 2008 PA 295 (MCL 460.1001 - 460.1211) by adding pt. 8.  TIE BAR WITH: SB 0054'23Last Action: REFERRED TO COMMITTEE ON ENERGY AND ENVIRONMENT"
SB 0774 of 2024,Senate Bill,Human services: medical services; coverage for cranial hair prosthesis; provide for under certain circumstances. Amends sec. 109 of 1939 PA 280 (MCL 400.109).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0775 of 2024,Senate Bill,Insurance: health insurers; coverage for cranial hair prosthesis; provide for under certain circumstances. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406jj.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0776 of 2024,Senate Bill,"Use tax: collections; credit for trade-in vehicles; modify. Amends sec. 2 of 1937 PA 94 (MCL 205.92).  TIE BAR WITH: SB 0777'24Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0777 of 2024,Senate Bill,"Sales tax: collections; credit for trade-in vehicles; modify. Amends sec. 1 of 1933 PA 167 (MCL 205.51).  TIE BAR WITH: SB 0776'24Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0778 of 2024,Senate Bill,Fire: other; licensure or registration for fire protection system installation; require. Creates new act.Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0779 of 2024,Senate Bill,Transportation: other; requirements for passing a stopped vehicle; provide for. Amends sec. 653a of 1949 PA 300 (MCL 257.653a) & repeals sec. 653b of 1949 PA 300 (MCL 257.653b).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0780 of 2024,Senate Bill,Appropriations: supplemental; funding for enforcement of certain transportation requirements; provide for. Creates appropriation act.  TIE BAR WITH: SB 0779'24Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0781 of 2024,Senate Bill,"Vehicles: wreckers; use of flares and blue lights on tow trucks; allow. Amends secs. 2, 698, 716 & 907 of 1949 PA 300 (MCL 257.2 et seq.) & adds sec. 682d.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE"
SB 0782 of 2024,Senate Bill,"Criminal procedure: sentencing guidelines; sentencing guidelines for penalties related to certain false reports of animal abuse or neglect; provide for. Amends sec. 16b, ch. XVII of 1927 PA 175 (MCL 777.16b).  TIE BAR WITH: SB 0783'24Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0783 of 2024,Senate Bill,"Animals: care and treatment; child protective service employees to report suspected animal abuse or neglect to certain law enforcement officers; require. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 50d.  TIE BAR WITH: SB 0782'24Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0784 of 2024,Senate Bill,"Economic development: tax increment financing; tax capture districts; exempt fire authorities. Amends secs. 201, 301, 402, 523, 603, 703 & 803 of 2018 PA 57 (MCL 125.4201 et seq.).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT"
SB 0785 of 2024,Senate Bill,Legislature: legislative agencies; freedom of information act ombudsman; create. Creates new act.Last Action: REFERRED TO COMMITTEE ON OVERSIGHT
SB 0786 of 2024,Senate Bill,Civil rights: public records; certain art institute service providers and zoological institutions; subject to the freedom of information act. Amends sec. 2 of 1976 PA 442 (MCL 15.232).Last Action: REFERRED TO COMMITTEE ON OVERSIGHT
SB 0787 of 2024,Senate Bill,Civil rights: open meetings; certain art institute service providers and zoological institutions; subject to the open meetings act. Amends sec. 2 of 1976 PA 267 (MCL 15.262).Last Action: REFERRED TO COMMITTEE ON OVERSIGHT
SB 0788 of 2024 (PA 150 of 2024),Senate Bill,Vehicles: registration plates; special registration plates for women veterans; provide for. Amends 1949 PA 300 (MCL 257.1 - 257.923) by adding sec. 803u.Last Action: ASSIGNED PA 0150'24
SB 0789 of 2024 (PA 0115 of 2024),Senate Bill,Liquor: licenses; license to sell alcoholic liquor for consumption on the premises of certain locations; modify. Amends sec. 513 of 1998 PA 58 (MCL 436.1513).Last Action: ASSIGNED PA 0115'24 WITH IMMEDIATE EFFECT
SB 0790 of 2024 (PA 144 of 2024),Senate Bill,Health: home health care; home help caregiver program; provide for. Creates new act.Last Action: ASSIGNED PA 0144'24
SB 0791 of 2024 (PA 145 of 2024),Senate Bill,Labor: collective bargaining; definition of public employee in 1947 PA 336; modify. Amends secs. 1 & 14 of 1947 PA 336 (MCL 423.201 & 423.214).Last Action: ASSIGNED PA 0145'24
SB 0792 of 2024,Senate Bill,Animals: research facilities; compliance report content requirements; modify. Amends sec. 11a of 1969 PA 224 (MCL 287.391a).Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0793 of 2024,Senate Bill,"Insurance: no-fault; catastrophic claims association; make miscellaneous operational amendments. Amends secs. 134 & 3104 of 1956 PA 218 (MCL 500.134 & 500.3104).  TIE BAR WITH: SB 0794'24Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0794 of 2024,Senate Bill,"Civil rights: open meetings; catastrophic claims association; make subject to open meetings act. Amends secs. 2 & 3 of 1976 PA 267 (MCL 15.262 & 15.263).  TIE BAR WITH: SB 0793'24Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0795 of 2024,Senate Bill,School aid: other; certain reading scholarships for certain eligible children; provide for. Amends sec. 11 of 1979 PA 94 (MCL 388.1611) & adds sec. 34a.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0796 of 2024,Senate Bill,Education: school districts; letter grade system for ranking public schools; provide for. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1280h.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0797 of 2024,Senate Bill,"Education: teachers and administrators; performance evaluation systems for public school teachers and school administrators; modify. Amends secs. 1248, 1249, 1249a, 1249b & 1280f of 1976 PA 451 (MCL 380.1248 et seq.) & adds secs. 1250a, 1531l & 1531m.  TIE BAR WITH: SB 0798'24Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 0798 of 2024,Senate Bill,"Education: teachers and administrators; references regarding teacher performance evaluations; modify. Amends sec. 4, art. I, secs. 2a & 3b, art. II & sec. 3, art. III of 1937 (Ex Sess) PA 4 (MCL 38.74 et seq.).  TIE BAR WITH: SB 0797'24Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 0799 of 2024 (PA 0114 of 2024),Senate Bill,Traffic control: driver license; reference to driver responsibility fees; remove. Amends sec. 4 of 2008 PA 23 (MCL 28.304).  TIE BAR WITH: SB 0706'24Last Action: ASSIGNED PA 0114'24
SB 0800 of 2024,Senate Bill,Property: conveyance of state property; transfer of certain state-owned property in Tuscola County; provide for. Creates land transfer act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0801 of 2024,Senate Bill,Civil procedure: evictions; court records of summary proceedings; provide for the sealing and expungement of. Amends 1961 PA 236 (MCL 600.101 - 600.9947) by adding sec. 5755.Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0802 of 2024,Senate Bill,Mental health: other; inclusion of mental health and substance use disorder services with the Michigan crisis and access line; provide for. Amends secs. 151 & 165 of 1974 PA 258 (MCL 330.1151 & 330.1165).Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0803 of 2024,Senate Bill,"Natural resources: hunting; pheasant hunting licensing; extend sunset. Amends sec. 43525c of 1994 PA 451 (MCL 324.43525c). Last Action: referred to Committee on Natural Resources, Environment, Tourism and Outdoor Recreation"
SB 0804 of 2024,Senate Bill,Liquor: licenses; license to serve alcohol at Macomb Community College Sports and Expo Center Complex; allow. Amends sec. 513 of 1998 PA 58 (MCL 436.1513).Last Action: placed on second reading
SB 0805 of 2024,Senate Bill,Education: other; inclusion of incidents involving possession or dissemination of sexually explicit or abusive material in required incident reporting; provide for. Amends sec. 1310a of 1976 PA 451 (MCL 380.1310a).Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0806 of 2024,Senate Bill,Health facilities: hospitals; psychological evaluation on a minor in a hospital emergency room longer than a certain period of time due to a mental health episode; require. Amends secs. 409 & 972 of 1974 PA 258 (MCL 330.1409 & 330.1972).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0807 of 2024,Senate Bill,"Marihuana: other; individuals who are 19 years of age or older; allow to be employed by or volunteer for marihuana establishments. Amends title & secs. 4, 5, 10 & 11 of 2018 IL 1 (MCL 333.27954 et seq.).Last Action: PLACED ON ORDER OF THIRD READING WITH SUBSTITUTE (S-1)"
SB 0808 of 2024,Senate Bill,Businesses: charitable organizations; contribution thresholds related to audit requirements for charitable organizations; revise. Amends sec. 3 of 1975 PA 169 (MCL 400.273).Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0809 of 2024,Senate Bill,Family law: marriage and divorce; uniform premarital and marital agreements act; create. Creates new act. Last Action: placed on second reading
SB 0810 of 2024,Senate Bill,"Civil procedure: personal protection orders; expiration date; prescribe. Amends sec. 2950 of 1961 PA 236 (MCL 600.2950).Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0811 of 2024,Senate Bill,"Health facilities: certificate of need; extended care services program; expand, and make other revisions. Amends sec. 22210 of 1978 PA 368 (MCL 333.22210).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY"
SB 0812 of 2024,Senate Bill,Public utilities: rates; use of actual cost for setting utility rates; require. Amends sec. 6a of 1939 PA 3 (MCL 460.6a).Last Action: REFERRED TO COMMITTEE ON ENERGY AND ENVIRONMENT
SB 0813 of 2024,Senate Bill,Criminal procedure: evidence; consideration of videorecorded statements in certain proceedings; allow. Amends sec. 2163a of 1961 PA 236 (MCL 600.2163a).Last Action: referred to second reading
SB 0814 of 2024,Senate Bill,Criminal procedure: sentencing; supreme court to determine court operation costs and funding; require. Creates new act.  TIE BAR WITH: SB 0815'24Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0815 of 2024,Senate Bill,"Criminal procedure: sentencing; sunset on certain costs that may be imposed upon criminal conviction; modify. Amends sec. 1k, ch. IX of 1927 PA 175 (MCL 769.1k).  TIE BAR WITH: SB 0814'24Last Action: REFERRED TO COMMITTEE OF THE WHOLE"
SB 0816 of 2024,Senate Bill,"Individual income tax: credit; credit for sales and use tax paid for textbooks purchased by eligible students; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 280.Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0817 of 2024 (PA 135 of 2024),Senate Bill,Appropriations: department of natural resources; Michigan natural resources trust fund; provide appropriations for fiscal year 2023-2024. Creates appropriation act.Last Action: ASSIGNED PA 0135'24 WITH IMMEDIATE EFFECT
SB 0818 of 2024,Senate Bill,"Records: death; commission to investigate racial disparities related to maternal health; create. Amends secs. 2227, 2617, 2617a & 2618 of 1978 PA 368 (MCL 333.2227 et seq.) & adds sec. 2617b.  TIE BAR WITH: SB 0819'24, SB 0821'24Last Action: placed on second reading"
SB 0819 of 2024,Senate Bill,Civil rights: general discrimination; reporting procedures for mistreatment during perinatal period; provide for. Creates new act.Last Action: placed on second reading
SB 0820 of 2024,Senate Bill,Health facilities: hospitals; certain policies on patients who are giving birth; require a hospital to adopt. Amends secs. 20201 & 21513 of 1978 PA 368 (MCL 333.20201 & 333.21513) & adds sec. 21537.Last Action: placed on second reading
SB 0821 of 2024,Senate Bill,Insurance: health insurers; provide the department of health and human services information on medical malpractice insurance relating to perinatal care services; require on request. Amends sec. 2434 of 1956 PA 218 (MCL 500.2434).Last Action: placed on second reading
SB 0822 of 2024,Senate Bill,Probate: patient advocates; withholding life-sustaining treatment for a patient who is pregnant; allow. Amends sec. 5507 of 1998 PA 386 (MCL 700.5507). Last Action: placed on second reading
SB 0823 of 2024,Senate Bill,Civil rights: sex discrimination and harassment; prohibition of sex discrimination in places of public accommodation and public services; extend to prohibit discrimination based on pregnancy or lactating status. Amends sec. 301 of 1976 PA 453 (MCL 37.2301). Last Action: placed on second reading
SB 0824 of 2024,Senate Bill,Children: child abuse or child neglect; mandatory reporting of certain events at birth of a child; modify. Amends sec. 3a of 1975 PA 238 (MCL 722.623a).Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0825 of 2024,Senate Bill,"Health: occupations; Michigan essential health provider recruitment strategy; expand to include midwives. Amends secs. 2701, 2705, 2709 & 2723 of 1978 PA 368 (MCL 333.2701 et seq.).Last Action: placed on second reading"
SB 0826 of 2024,Senate Bill,Health: other; doula scholarship fund; create. Creates new act.Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0827 of 2024,Senate Bill,Insurance: health insurers; coverage for gynecological and perinatal services; require. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406cc.Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0828 of 2024,Senate Bill,Children: child care; policy to prevent anaphylaxis and during medical emergency resulting from anaphylaxis; create. Amends 1973 PA 116 (MCL 722.111 - 722.128) by adding section 16a.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0829 of 2024,Senate Bill,"Criminal procedure: sentencing guidelines; reference to section of the Michigan occupational safety and health act; amend to reflect repeal. Amends sec. 14b, ch. XVII of 1927 PA 175 (MCL 777.14b).   TIE BAR WITH: SB 0830'24Last Action: referred to second reading"
SB 0830 of 2024,Senate Bill,"Labor: health and safety; revisions to the occupational safety and health act; provide for. Amends title & secs. 4, 13, 14, 14a, 14e, 14f, 14j, 14n, 24, 27, 28, 29, 30, 31, 33, 35, 36, 37, 41, 45, 46, 52, 54, 55, 56, 63, 65 & 91 of 1974 PA 154 (MCL 408.1004 et seq.) & repeals sec. 1035a of 1974 PA 154 (MCL 408.1035a). Last Action: referred to second reading"
SB 0831 of 2024,Senate Bill,State: symbol; stonefly; designate as the official state insect. Creates new act.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND AGRICULTURE
SB 0832 of 2024,Senate Bill,Health: patient directives; Michigan medical treatment decisions act; enact. Creates new act.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0833 of 2024,Senate Bill,Insurance: health insurers; limitations on duration of inpatient psychiatric admissions; prohibit. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406mm.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0834 of 2024 (PA 128 of 2024),Senate Bill,Law enforcement: funds; public safety officer death benefits; increase. Amends sec. 4 of 2004 PA 46 (MCL 28.634).Last Action: ASSIGNED PA 0128'24 WITH IMMEDIATE EFFECT
SB 0835 of 2024,Senate Bill,Corrections: parole; certain voting information on release; require department of corrections to provide. Amends secs. 34c & 35 of 1953 PA 232 (MCL 791.234c & 791.235).Last Action: referred to Committee on Government Operations
SB 0836 of 2024,Senate Bill,Children: child care; adjustments of reimbursements under the child development care program for inflation; require. Creates new act.Last Action: referred to Committee on Government Operations
SB 0837 of 2024,Senate Bill,Children: child care; review and appeal process for certain violations of child care organization rules; require the department to establish. Amends 1973 PA 116 (MCL 722.111 - 722.128) by adding sec. 12a.Last Action: referred to Committee on Government Operations
SB 0838 of 2024,Senate Bill,Individual income tax: credit; working parent credit; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 272a.Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0839 of 2024,Senate Bill,"Fire: other; requirements for certain child care organizations and procedures for certain investigations; modify and make other revisions to 1973 PA 116. Amends secs. 2, 3, 5n, 10 & 11c of 1973 PA 116 (MCL 722.112 et seq.).Last Action: referred to Committee on Government Operations"
SB 0840 of 2024,Senate Bill,State agencies (proposed): boards and commissions; Black leadership advisory council; establish. Creates new act.Last Action: placed on third reading
SB 0841 of 2024 (PA 79 of 2024),Senate Bill,Crimes: penalties; penalties for sexual conduct with a corpse or involving a corpse; provide for. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 160d.Last Action: ASSIGNED PA 0079'24 WITH IMMEDIATE EFFECT
SB 0842 of 2024 (PA 80 of 2024),Senate Bill,"Criminal procedure: sentencing guidelines; sentencing guidelines for sexual conduct with a corpse or involving a corpse; create. Amends sec. 16i, ch. XVII of 1927 PA 175 (MCL 777.16i).  TIE BAR WITH: SB 0841'24Last Action: ASSIGNED PA 0080'24 WITH IMMEDIATE EFFECT"
