Document,Type,Description
SB 0001 of 2011,Senate Bill,Michigan business tax; repeal; Michigan business tax; repeal. Repeals 2007 PA 36 (MCL 208.1101 - 208.1601).Last Action: REFERRED TO COMMITTEE ON FINANCE
HB 4913 of 2011 (PA 248 of 2012),House Bill,Property tax; classification; requirements to withdraw commercial forestland from ad valorem property tax; modify. Amends sec. 51108 of 1994 PA 451 (MCL 324.51108).Last Action: assigned PA 248'12 with immediate effect
HB 4914 of 2011 (PA 214 of 2011),House Bill,"Natural resources; mining; part 631 of NREPA; eliminate DEQ authority over nonmetallic mineral mining and revise terminology to reference ferrous minerals. Amends headings of pts. 631 & 633 & secs. 1301, 9115, 63101, 63103, 63103a, 63103b, 63103c, 63103d & 63103e of 1994 PA 451 (MCL 324.1301 et seq.) & repeals sec. 63102 of 1994 PA 451 (MCL 324.63102).Last Action: assigned PA 214'11 with immediate effect"
HB 4915 of 2011 (PA 164 of 2011),House Bill,Environmental protection; air pollution; air quality fees; revise. Amends sec. 5522 of 1994 PA 451 (MCL 324.5522).Last Action: assigned PA 164'11 with immediate effect
HB 4916 of 2011,House Bill,Property tax; delinquent taxes; requirements for purchasing property at auction; revise. Amends sec. 78m of 1893 PA 206 (MCL 211.78m).Last Action: printed bill filed 09/09/2011
HB 4917 of 2011,House Bill,Natural resources; hunting; transporting of crossbow; revise requirements. Amends sec. 40111 of 1994 PA 451 (MCL 324.40111).Last Action: postponed temporarily
HB 4918 of 2011,House Bill,State; buildings; flags flown at state buildings; require to be made in the United States. Amends 1911 PA 209 (MCL 2.21 - 2.27) by adding sec. 2a.Last Action: printed bill filed 09/09/2011
HB 4919 of 2011,House Bill,"Environmental protection; recycling; plastic shopping bag fee; provide for, and earmark for recycling and litter cleanup. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding pt. 175.Last Action: printed bill filed 09/09/2011"
HB 4920 of 2011 (PA 7 of 2012),House Bill,Cities; home rule; authority to enact local ordinances with criminal penalties of not more than 180 days in jail; provide. Amends secs. 3 & 4i of 1909 PA 279 (MCL 117.3 & 117.4i).Last Action: assigned PA 7'12 with immediate effect
HB 4921 of 2011 (PA 8 of 2012),House Bill,Townships; charter; authority to enact local ordinances with criminal penalties of not more than 180 days in jail; provide. Amends sec. 21 of 1947 PA 359 (MCL 42.21).Last Action: assigned PA 8'12 with immediate effect
HB 4922 of 2011 (PA 9 of 2012),House Bill,Townships; general law; authority to enact local ordinances with criminal penalties of not more than 180 days in jail; provide. Amends secs. 1 & 4 of 1945 PA 246 (MCL 41.181 & 41.184).Last Action: assigned PA 9'12 with immediate effect
HB 4923 of 2011 (PA 10 of 2012),House Bill,"Villages; general law; authority to enact local ordinances with criminal penalties of not more than 180 days in jail; provide. Amends secs. 2 & 4, ch. VI of 1895 PA 3 (MCL 66.2 & 66.4).Last Action: assigned PA 10'12 with immediate effect"
HB 4924 of 2011 (PA 11 of 2012),House Bill,Villages; home rule; authority to enact local ordinances with criminal penalties of not more than 180 days in jail; provide. Amends secs. 23 & 24 of 1909 PA 278 (MCL 78.23 & 78.24).Last Action: assigned PA 11'12 with immediate effect
HB 4925 of 2011,House Bill,Natural resources; other; counties eligible to authorize off-road vehicles on road shoulders; extend to entire state and eliminate sunset. Amends sec. 81131 of 1994 PA 451 (MCL 324.81131).Last Action: REFERRED TO COMMITTEE ON OUTDOOR RECREATION AND TOURISM
HB 4926 of 2011,House Bill,Liquor; licenses; liquor licenses on the premises of certain college buildings; allow. Amends sec. 513 of 1998 PA 58 (MCL 436.1513).Last Action: printed bill filed 09/09/2011
HB 4927 of 2011,House Bill,Natural resources; hunting; penalties for illegally baiting game; provide for. Amends secs. 40102 & 40118 of 1994 PA 451 (MCL 324.40102 & 324.40118).Last Action: printed bill filed 09/09/2011
HB 4928 of 2011 (PA 336 of 2012),House Bill,Property; other; affidavits to correct errors or omissions relating to previously recorded documents; allow. Amends 1915 PA 123 (MCL 565.451a - 565.453) by adding sec. 1d.Last Action: assigned PA 336'12 with immediate effect
HB 4929 of 2011 (PA 53 of 2012),House Bill,Labor; public service employment; collection of union dues by public school personnel; prohibit. Amends title & sec. 10 of 1947 PA 336 (MCL 423.210).Last Action: assigned PA 53'12 with immediate effect
HB 4930 of 2011,House Bill,Environmental protection; permits; hazardous waste permit eligibility; restrict based on certain criminal convictions. Amends sec. 11123 of 1994 PA 451 (MCL 324.11123).Last Action: printed bill filed 09/14/2011
HB 4931 of 2011,House Bill,Health; blood; options regarding cord blood stem cells; require certain physicians to inform patients during second trimester. Amends secs. 2681 & 2683 of 1978 PA 368 (MCL 333.2681 & 333.2683) & adds sec. 2684.Last Action: printed bill filed 09/14/2011
HB 4932 of 2011 (PA 288 of 2011),House Bill,"Libraries; funds; population requirement for designation as a cooperative board of an existing library system; modify to 600,000. Amends sec. 6 of 1977 PA 89 (MCL 397.556).Last Action: assigned PA 288'11 with immediate effect"
HB 4933 of 2011,House Bill,Land use; land division; sidewalk construction in developments; impose completion date. Creates new act.Last Action: printed bill filed 09/14/2011
HB 4934 of 2011 (PA 321 of 2012),House Bill,"Education; school districts; opportunity for students to recite the ""Pledge of Allegiance"" in public schools each school day; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1347a.  TIE BAR WITH: SB 0637'11Last Action: assigned PA 321'12 with immediate effect"
HB 4935 of 2011,House Bill,Legislature; reports; distribution of official house and senate journals to legislators; modify. Amends sec. 6 of 1899 PA 44 (MCL 24.6).Last Action: printed bill filed 09/14/2011
HB 4936 of 2011,House Bill,"Insurance; no-fault; coverage and benefits; make miscellaneous changes. Amends secs. 3101, 3104, 3107, 3113, 3114, 3115, 3135, 3157, 3163 & 3172 of 1956 PA 218 (MCL 500.3101 et seq.) & adds secs. 1245, 3107c & 3178.Last Action: referred to second reading"
HB 4937 of 2011,House Bill,Income tax; income; sources based on where the benefit of a source is received; codify revenue administratives bulletin. Amends sec. 669 of 1967 PA 281 (MCL 206.669).Last Action: REFERRED TO COMMITTEE ON FINANCE
HB 4938 of 2011,House Bill,Income tax; other; definition of gross receipts; replace with definition under former single business tax act. Amends sec. 607 of 1967 PA 281 (MCL 206.607).Last Action: REFERRED TO COMMITTEE ON FINANCE
HB 4939 of 2011,House Bill,Income tax; returns; method of computing tax for portion of a tax year; clarify. Amends sec. 683 of 1967 PA 281 (MCL 206.683).Last Action: re-referred to Committee on Tax Policy
HB 4940 of 2011 (PA 311 of 2011),House Bill,Income tax; administration; treatment of flow-through entities and disregarded entities; clarify. Amends sec. 701 of 1967 PA 281 (MCL 206.701).Last Action: assigned PA 311'11 with immediate effect
HB 4941 of 2011,House Bill,Income tax; administration; filing threshold under corporate income tax; clarify for flow-through entities. Amends sec. 685 of 1967 PA 281 (MCL 206.685).Last Action: re-referred to Committee on Tax Policy
HB 4942 of 2011,House Bill,Income tax; other; references to each tax base; eliminate to reflect single tax base. Amends sec. 663 of 1967 PA 281 (MCL 206.663).Last Action: re-referred to Committee on Tax Policy
HB 4943 of 2011,House Bill,Income tax; administration; reference to treasurer; clarify state treasurer. Amends sec. 667 of 1967 PA 281 (MCL 206.667).Last Action: re-referred to Committee on Tax Policy
HB 4944 of 2011,House Bill,Michigan business tax; replacement; nexus of a financial institution; clarify. Amends sec. 653 of 1967 PA 281 (MCL 206.653).Last Action: re-referred to Committee on Tax Policy
HB 4945 of 2011,House Bill,Income tax; administration; deductions and withholdings provisions; clean up. Amends sec. 705 of 1967 PA 281 (MCL 206.705).Last Action: re-referred to Committee on Tax Policy
HB 4946 of 2011 (PA 170 of 2011),House Bill,Income tax; administration; definition of tax year for certain persons included in a unitary business group; clarify. Amends sec. 611 of 1967 PA 281 (MCL 206.611).Last Action: assigned PA 170'11 with immediate effect
HB 4947 of 2011 (PA 209 of 2011),House Bill,"Michigan business tax; replacement; administration, operation, and filing after enactment of corporate income tax; clarify. Amends secs. 107, 117, 431, 500 & 503 of 2007 PA 36 (MCL 208.1107 et seq.).Last Action: assigned PA 209'11 with immediate effect"
HB 4948 of 2011,House Bill,Income tax; administration; definition of actively solicits; codify written guidance previously issued. Amends sec. 621 of 1967 PA 281 (MCL 206.621).Last Action: re-referred to Committee on Tax Policy
HB 4949 of 2011 (PA 312 of 2011),House Bill,Income tax; income; reference to treasurer; clarify. Amends sec. 623 of 1967 PA 281 (MCL 206.623).Last Action: assigned PA 312'11 with immediate effect
HB 4950 of 2011 (PA 313 of 2011),House Bill,Income tax; credit; alternative filing option under the small business credit; eliminate. Amends sec. 671 of 1967 PA 281 (MCL 206.671).Last Action: assigned PA 313'11 with immediate effect
HB 4951 of 2011 (PA 171 of 2011),House Bill,Income tax; other; definition of financial institution; eliminate outdated reference. Amends sec. 651 of 1967 PA 281 (MCL 206.651).Last Action: assigned PA 171'11 with immediate effect
HB 4952 of 2011 (PA 172 of 2011),House Bill,Income tax; property tax credit; definition of income; clean up. Amends sec. 510 of 1967 PA 281 (MCL 206.510).Last Action: assigned PA 172'11 with immediate effect
HB 4953 of 2011 (PA 173 of 2011),House Bill,Income tax; income; definition carve-out of business income for electric cooperatives; eliminate. Amends sec. 603 of 1967 PA 281 (MCL 206.603).Last Action: assigned PA 173'11 with immediate effect
HB 4954 of 2011 (PA 174 of 2011),House Bill,Income tax; other; internal cite included with a credit for taxes withheld; correct. Amends sec. 251 of 1967 PA 281 (MCL 206.251).Last Action: assigned PA 174'11 with immediate effect
HB 4955 of 2011 (PA 175 of 2011),House Bill,Income tax; administration; tax base and sales factor for a foreign person; clarify. Amends sec. 625 of 1967 PA 281 (MCL 206.625).Last Action: assigned PA 175'11 with immediate effect
HB 4956 of 2011 (PA 176 of 2011),House Bill,Income tax; administration; definition of person; include flow-through entity. Amends sec. 609 of 1967 PA 281 (MCL 206.609).Last Action: assigned PA 176'11 with immediate effect
HB 4957 of 2011 (PA 177 of 2011),House Bill,Income tax; property tax credit; definition of total household resources; clean up. Amends sec. 508 of 1967 PA 281 (MCL 206.508).Last Action: assigned PA 177'11 with immediate effect
HB 4958 of 2011 (PA 178 of 2011),House Bill,Income tax; income; effective date of single factor apportionment of business income for transportation services; correct. Amends sec. 115 of 1967 PA 281 (MCL 206.115).Last Action: assigned PA 178'11 with immediate effect
HB 4959 of 2011,House Bill,Income tax; collections; deductions and withholdings by persons that disburse pension or annuity payments and flow-through entities; clarify. Amends sec. 703 of 1967 PA 281 (MCL 206.703).Last Action: re-referred to Committee on Tax Policy
HB 4960 of 2011,House Bill,"Income tax; returns; filing threshold, returns, and estimated payments required under corporate income tax; clarify. Amends sec. 681 of 1967 PA 281 (MCL 206.681).Last Action: re-referred to Committee on Tax Policy"
HB 4961 of 2011,House Bill,Income tax; administration; treatment of disregarded entities; clarify. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding sec. 699.Last Action: re-referred to Committee on Tax Policy
HB 4962 of 2011,House Bill,Income tax; income; sourcing of receipts from certain sales; clarify. Amends sec. 665 of 1967 PA 281 (MCL 206.665).Last Action: re-referred to Committee on Tax Policy
HB 4963 of 2011,House Bill,Income tax; other; apportionment of tax base for a flow-through entity; clarify. Amends sec. 661 of 1967 PA 281 (MCL 206.661).Last Action: re-referred to Committee on Tax Policy
HB 4964 of 2011 (PA 179 of 2011),House Bill,Income tax; other; definition of corporation; clarify. Amends sec. 605 of 1967 PA 281 (MCL 206.605).Last Action: assigned PA 179'11 with immediate effect
HB 4965 of 2011,House Bill,Income tax; administration; filing and reporting the withholdings by flow-through entities and certain persons; clarify and clean up. Amends sec. 711 of 1967 PA 281 (MCL 206.711).Last Action: re-referred to Committee on Tax Policy
HB 4966 of 2011 (PA 180 of 2011),House Bill,Income tax; property tax credit; treatment of senior citizens; clarify. Amends sec. 522 of 1967 PA 281 (MCL 206.522).Last Action: assigned PA 180'11 with immediate effect
HB 4967 of 2011 (PA 181 of 2011),House Bill,Income tax; credit; provision to provide for recapture under certain circumstances of certain credits earned under previous business tax acts; create. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding sec. 673.Last Action: assigned PA 181'11 with immediate effect
HB 4968 of 2011 (PA 182 of 2011),House Bill,"Income tax; administration; definition of foreign operating entity, member, and gross receipts; clean up. Amends sec. 607 of 1967 PA 281 (MCL 206.607).Last Action: assigned PA 182'11 with immediate effect"
HB 4969 of 2011,House Bill,"Natural resources; forests; tax exemption for certain forest property; provide for. Amends secs. 51102, 51103, 51108 & 51115 of 1994 PA 451 (MCL 324.51102 et seq.) & adds pt. 514.  TIE BAR WITH: HB 4970'11Last Action: PLACED ON IMMEDIATE PASSAGE"
HB 4970 of 2011,House Bill,"Property tax; classification; qualified forest property; provide property tax exemption. Amends secs. 7dd, 7jj & 27a of 1893 PA 206 (MCL 211.7dd et seq.).  TIE BAR WITH: HB 4969'11Last Action: PLACED ON IMMEDIATE PASSAGE"
HB 4971 of 2011,House Bill,Trade; containers; attempts to return nonrefundable containers; establish penalties. Amends sec. 4a of 1976 IL 1 (MCL 445.574a).Last Action: printed bill filed 09/15/2011
HB 4972 of 2011,House Bill,Natural resources; mining; blasting standards; establish for certain mining operations. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding pt. 639.Last Action: printed bill filed 09/15/2011
HB 4973 of 2011,House Bill,"Natural resources; mining; false blasting record; establish sentencing guidelines. Amends sec. 13f, ch. XVII of 1927 PA 175 (MCL 777.13f).  TIE BAR WITH: HB 4972'11Last Action: printed bill filed 09/15/2011"
HB 4974 of 2011 (PA 121 of 2012),House Bill,"Highways; name; portion of US-31 designated as the ""Medal of Honor Recipients Highway""; provide technical amendment. Amends sec. 1072 of 2001 PA 142 (MCL 250.2072).Last Action: assigned PA 121'12 with immediate effect"
HB 4975 of 2011 (PA 505 of 2012),House Bill,"Occupations; appraisers; appraisal management companies; regulate. Amends sec. 602 of 1980 PA 299 (MCL 339.602) & adds art. 26A.
  TIE BAR WITH: HB 5271'12Last Action: assigned PA 505'12   2012 ADDENDA"
HB 4976 of 2011,House Bill,Income tax; deductions; closing costs and real estate commissions on sale of a taxpayer's principal residence; provide for. Amends sec. 30 of 1967 PA 281 (MCL 206.30).Last Action: printed bill filed 09/15/2011
HB 4977 of 2011,House Bill,Income tax; deductions; a loss associated with the sale of a taxpayer's principal residence; provide for. Amends sec. 30 of 1967 PA 281 (MCL 206.30).Last Action: printed bill filed 09/15/2011
HB 4978 of 2011 (PA 55 of 2012),House Bill,"Vehicles; registration plates; distribution of funds collected for the organ and tissue donation education fund; modify, and change fund name to the Thomas Daley gift of life fund. Amends secs. 307 & 811k of 1949 PA 300 (MCL 257.307 & 257.811k); adds sec. 811s & repeals sec. 217o of 1949 PA 300 (MCL 257.217o).  TIE BAR WITH: SB 0534'11Last Action: assigned PA 55'12 with immediate effect"
HB 4979 of 2011,House Bill,Human services; medical services; state assistance for prescriptions; prohibit for individual convicted of crime involving controlled substances. Amends sec. 109 of 1939 PA 280 (MCL 400.109).Last Action: printed bill filed 09/15/2011
HB 4980 of 2011,House Bill,Appropriations; supplemental; negative supplemental appropriation for higher education; provide for fiscal year 2011-2012. Amends sec. 236 of 1979 PA 94 (MCL 388.1836) & adds sec. 265a.Last Action: printed bill filed 09/16/2011
HB 4981 of 2011,House Bill,Property tax; principal residence exemption; individual moving into assisted living facility; allow to retain principal residence exemption. Amends sec. 7cc of 1893 PA 206 (MCL 211.7cc).Last Action: referred to second reading
HB 4982 of 2011,House Bill,"Transportation; other; use of flashers and ""stop arm"" for public transit buses; allow. Amends secs. 682 & 688 of 1949 PA 300 (MCL 257.682 & 257.688) & adds sec. 45b.Last Action: printed bill filed 09/16/2011"
HB 4983 of 2011,House Bill,Appropriations; supplemental; negative supplemental for fiscal year 2011-2012; provide for. Creates appropriation act.Last Action: printed bill filed 09/16/2011
HB 4984 of 2011,House Bill,Income tax; credit; credit for expenditures by certain school teachers for certain supplies; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding sec. 277.Last Action: printed bill filed 09/16/2011
HB 4985 of 2011,House Bill,"Occupations; barbers; mobile barbershops; allow issuance of permit under certain circumstances. Amends secs. 1101, 1111, 1112 & 1117 of 1980 PA 299 (MCL 339.1101 et seq.).  TIE BAR WITH: HB 4986'11Last Action: printed bill filed 09/16/2011"
HB 4986 of 2011,House Bill,Occupations; barbers; fees for mobile barbershop permit; establish. Amends sec. 17 of 1979 PA 152 (MCL 338.2217).  TIE BAR WITH: HB 4985'11Last Action: printed bill filed 09/16/2011
HB 4987 of 2011,House Bill,Education; elementary; smaller class size in underperforming schools; require. Amends sec. 1280 of 1976 PA 451 (MCL 380.1280).Last Action: printed bill filed 09/16/2011
HB 4988 of 2011,House Bill,Education; curricula; 1/2 credit of financial literacy; require as part of the math credit required for Michigan merit curriculum. Amends sec. 1278a of 1976 PA 451 (MCL 380.1278a).Last Action: printed bill filed 09/16/2011
HB 4989 of 2011,House Bill,Public employees and officers; compensation and benefits; salary earned by certain public employees; restrict to less than governor's salary. Creates new act.Last Action: printed bill filed 09/16/2011
HB 4990 of 2011 (PA 273 of 2011),House Bill,Income tax; property tax credit; application of taxable value eligibility cap on certain agricultural property; revise. Amends sec. 520 of 1967 PA 281 (MCL 206.520).Last Action: assigned PA 273'11 with immediate effect
HB 4991 of 2011,House Bill,"Highways; name; certain portion of US-10 in Lake county; designate as the ""Sheriff Robert Radden Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2080) by adding sec. 71.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
HB 4992 of 2011 (PA 128 of 2012),House Bill,"Elections; ballots; ballot instructions; revise to require placement in voting booth and include with absentee ballots, and make other miscellaneous changes to the Michigan election law. Amends secs. 558, 560, 560b, 568, 591, 706 & 764a of 1954 PA 116 (MCL 168.558 et seq.); adds secs. 736b, 736c, 736d, 736e, 736f, 736g & 764 & repeals sec. 737 of 1954 PA 116 (MCL 168.737).Last Action: assigned PA 128'12 with immediate effect"
HB 4993 of 2011,House Bill,Insurance; no-fault; personal protection benefits; prohibit undocumented aliens from receiving. Amends sec. 3113 of 1956 PA 218 (MCL 500.3113).Last Action: referred to second reading
HB 4994 of 2011 (PA 43 of 2012),House Bill,"Environmental protection; water pollution; annual wastewater report requirement; repeal, and rescind corresponding rules. Repeals sec. 3111 of 1994 PA 451 (MCL 324.3111) & rescinds R 299.9001 - R 299.9008 of the Michigan administrative code.Last Action: assigned PA 43'12 with immediate effect"
HB 4995 of 2011,House Bill,Human services; other; immunity for certain human services employees; prohibit. Amends 1939 PA 288 (MCL 710.21 - 712A.32) by adding sec. 2f to ch. XIIA.Last Action: printed bill filed 09/21/2011
HB 4996 of 2011,House Bill,Traffic control; traffic regulation; alternative method for signaling a turn; allow when operating a bicycle. Amends sec. 648 of 1949 PA 300 (MCL 257.648).Last Action: printed bill filed 09/21/2011
HB 4997 of 2011,House Bill,Transportation; limousines; compliance with city ordinance; revise population requirement. Amends sec. 7 of 1990 PA 271 (MCL 257.1907).Last Action: printed bill filed 09/22/2011
HB 4998 of 2011,House Bill,Civil procedure; evictions; court procedures; make miscellaneous revisions. Amends secs. 5732 & 5739 of 1961 PA 236 (MCL 600.5732 & 600.5739) & adds sec. 5736.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
HB 4999 of 2011,House Bill,Environmental protection; air pollution; impact study for issuance of air quality permits in certain locations under certain circumstances; require. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 5506a.Last Action: printed bill filed 09/22/2011
HB 5000 of 2011,House Bill,Higher education; other; commission to assess governance structure of state university system; create. Creates new act.Last Action: printed bill filed 09/22/2011
HB 5001 of 2011,House Bill,Income tax; checkoff; Detroit college promise fund; provide check-off option. Amends sec. 435 of 1967 PA 281 (MCL 206.435).Last Action: placed on third reading
HB 5002 of 2011 (PA 266 of 2011),House Bill,"Worker's compensation; definitions; definition of disability and conditions on compensation for covered injuries; modify. Amends secs. 161, 205, 210, 212, 213, 274, 301, 315, 319, 331, 353, 354, 358, 360, 361, 381, 401, 625, 801, 835, 836, 837, 847, 853 & 862 of 1969 PA 317 (MCL 418.161 et seq.); adds secs. 302, 613 & 659 & repeals secs. 209, 211, 215, 223 & 364 & ch. 7 of 1969 PA 317 (MCL 418.209 et seq.).Last Action: assigned PA 266'11 with immediate effect"
HB 5003 of 2011,House Bill,Income tax; deductions; cap on deduction of private pensions; eliminate under certain conditions. Amends sec. 30 of 1967 PA 281 (MCL 206.30).Last Action: printed bill filed 09/23/2011
HB 5004 of 2011,House Bill,Sales tax; collections; collection of tax on internet sales; provide for. Amends 1933 PA 167 (MCL 205.51 - 205.78) by adding sec. 2b.Last Action: printed bill filed 09/23/2011
HB 5005 of 2011,House Bill,Use tax; collections; collection of tax on internet sales; provide for. Amends 1937 PA 94 (MCL 205.91 - 205.111) by adding sec. 5a.Last Action: printed bill filed 09/23/2011
HB 5006 of 2011,House Bill,School aid; membership; counting membership based on 50% current year count day and 50% prior year supplemental count day; provide for. Amends sec. 6 of 1979 PA 94 (MCL 388.1606).Last Action: printed bill filed 09/23/2011
HB 5007 of 2011 (PA 298 of 2012),House Bill,"Transportation; funds; financial performance audits; require of the department of treasury. Amends secs. 9a, 10c, 12, 13 & 20a of 1951 PA 51 (MCL 247.659a et seq.).Last Action: assigned PA 298'12 with immediate effect"
HB 5008 of 2011,House Bill,Public utilities; public service commission; low-income and energy efficiency fund; create. Creates new act.Last Action: motion to discharge committee postponed for day
HB 5009 of 2011,House Bill,Gaming; other; exemption for card playing at certain senior citizen facilities; expand. Amends sec. 303a of 1931 PA 328 (MCL 750.303a).Last Action: postponed temporarily
HB 5010 of 2011,House Bill,Liquor; licenses; location restrictions; modify for issuance of license. Amends sec. 533 of 1998 PA 58 (MCL 436.1533).Last Action: printed bill filed 09/28/2011
HB 5011 of 2011 (PA 103 of 2012),House Bill,Construction; code; certain enforcement and administrative functions; authorize governmental unit to contract with private organization for. Amends sec. 2a of 1972 PA 230 (MCL 125.1502a) & adds sec. 9.Last Action: assigned PA 103'12 with immediate effect
HB 5012 of 2011,House Bill,"Criminal procedure; statute of limitations; filing for certain indictments; modify. Amends sec. 24, ch. VII of 1927 PA 175 (MCL 767.24).Last Action: printed bill filed 09/28/2011"
HB 5013 of 2011,House Bill,Education; teachers; continuing education requirements for renewal of teaching certificate; eliminate. Amends sec. 1531 of 1976 PA 451 (MCl 380.1531) & repeals sec. 1531e of 1976 PA 451 (MCL 380.1531e).Last Action: printed bill filed 09/28/2011
HB 5014 of 2011 (PA 278 of 2011),House Bill,"Appropriations; supplemental; multidepartment supplemental; provide for fiscal year 2011-2012. Creates appropriation act & repeals sec. 951, art. VIII & sec. 614, art. X of 2011 PA 63.Last Action: assigned PA 278'11 with immediate effect"
HB 5015 of 2011 (PA 296 of 2012),House Bill,Appropriations; supplemental; multidepartment supplemental; provide for fiscal year 2011-2012. Creates appropriation act.Last Action: assigned PA 296'12 with immediate effect
HB 5016 of 2011,House Bill,Appropriations; supplemental; multidepartment supplemental; provide for fiscal year 2011-2012. Creates appropriation act.Last Action: printed bill filed 09/28/2011
HB 5017 of 2011,House Bill,Appropriations; supplemental; multidepartment supplemental; provide for fiscal year 2010-2011. Creates appropriation act.Last Action: printed bill filed 09/28/2011
HB 5018 of 2011,House Bill,Appropriations; supplemental; multidepartment supplemental; provide for fiscal year 2010-2011. Creates appropriation act.Last Action: printed bill filed 09/28/2011
HB 5019 of 2011,House Bill,Education; curricula; minimum amounts of physical and health education; require. Amends sec. 1502 of 1976 PA 451 (MCL 380.1502).Last Action: printed bill filed 09/28/2011
HB 5020 of 2011,House Bill,Civil procedure; foreclosure; foreclosure by advertisement; require all assignments of mortgage to be recorded. Amends secs. 3204 & 3212 of 1961 PA 236 (MCL 600.3204 & 600.3212).Last Action: printed bill filed 09/28/2011
HB 5021 of 2011,House Bill,Civil procedure; foreclosure; redemption of property in foreclosure; establish a deadline for adding expenses to amount required to redeem. Amends sec. 3240 of 1961 PA 236 (MCL 600.3240).Last Action: printed bill filed 09/28/2011
HB 5022 of 2011,House Bill,Civil procedure; foreclosure; redemption of property in foreclosure; allow county registers of deeds to calculate amount due. Amends sec. 3240 of 1961 PA 236 (MCL 600.3240).Last Action: printed bill filed 09/28/2011
HB 5023 of 2011,House Bill,Labor; public service labor disputes; classes of public employees subject to penalties for engaging in a prohibited strike; expand. Amends sec. 2 of 1947 PA 336 (MCL 423.202) & adds sec. 2b.Last Action: referred to second reading
HB 5024 of 2011,House Bill,Labor; fair employment practices; remedies for mass picketing; modify. Amends sec. 9f of 1939 PA 176 (MCL 423.9f).Last Action: referred to second reading
HB 5025 of 2011,House Bill,Labor; hours and wages; employer deduction of union membership dues from wages; require annual written consent of employee. Amends sec. 7 of 1978 PA 390 (MCL 408.477).Last Action: referred to second reading
HB 5026 of 2011,House Bill,Labor; notices; notice requirements in advertising for replacements for striking workers; repeal. Amends the title of 1962 PA 150 & repeals sec. 3a of 1962 PA 150 (MCL 423.253a).Last Action: referred to second reading
HB 5027 of 2011,House Bill,Communications; broadcasting; local zoning restrictions for amateur radio; require to conform to federal regulations. Amends 2006 PA 110 (MCL 125.3101 - 125.3702) by adding sec. 205a.Last Action: printed bill filed 09/28/2011
HB 5028 of 2011,House Bill,"Vehicles; off-road; operation of an off-road vehicle by certain individuals under the influence of or visibly impaired by alcohol or a controlled substance; prohibit. Amends secs. 81101, 81134, 81136, 81137, 81140, 81141 & 81144 of 1994 PA 451 (MCL 324.81101 et seq.); adds sec. 81140b & repeals sec. 81135 of 1994 PA 451 (MCL 324.81135).Last Action: referred to second reading"
HB 5029 of 2011,House Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for operating ORV under influence of alcoholic liquor; revise to include operating with any amount of schedule 1 controlled substances in operator's body. Amends sec. 13g, ch. XVII of 1927 PA 175 (MCL 777.13g).  TIE BAR WITH: HB 5028'11Last Action: referred to second reading"
HB 5030 of 2011,House Bill,"Labor; health and safety; limitation on rules MIOSHA can promulgate; establish. Amends 1974 PA 154 (MCL 408.1001 - 408.1094) by adding sec. 13a.Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING"
HB 5031 of 2011,House Bill,Property tax; classification; classification of industrial property; clarify. Amends sec. 34c of 1893 PA 206 (MCL 211.34c).Last Action: recommendation concurred in
HB 5032 of 2011,House Bill,"Gaming; lottery; lottery winners; require lottery bureau to share names with certain other state agencies. Amends 1972 PA 239 (MCL 432.1 - 432.47) by adding sec. 32a.Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND HUMAN SERVICES"
HB 5033 of 2011 (PA 79 of 2012),House Bill,Human services; services or financial assistance; eligibility for family independence program; apply asset test. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 10d.Last Action: assigned PA 79'12 with immediate effect
HB 5034 of 2011,House Bill,Liquor; retail sales; selling glass of beer as a pint if it contains less than 16 ounces of beer; prohibit. Amends 1998 PA 58 (MCL 436.1101 - 436.2303) by adding sec. 1006.Last Action: printed bill filed 10/04/2011
HB 5035 of 2011,House Bill,Property tax; personal property; nonprofit organizations; clarify exemption for personal property. Amends sec. 7o of 1893 PA 206 (MCL 211.7o).Last Action: printed bill filed 10/04/2011
HB 5036 of 2011,House Bill,Local government; port authorities; population requirements for board member appointments; revise. Amends sec. 5 of 1978 PA 639 (MCL 120.105).Last Action: printed bill filed 10/04/2011
HB 5037 of 2011,House Bill,Environmental protection; solid waste; sale of retread tires; impose fee for recycling and cleanup. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding pt. 176.Last Action: printed bill filed 10/06/2011
HB 5038 of 2011,House Bill,Labor; fair employment practices; employee right to be free from certain employer-required programs; create. Creates new act.Last Action: printed bill filed 10/06/2011
